Family,Genus,Taxon_treated,Action
Apiaceae,,Apiaceae,identification
Apiaceae,Lomatium,Lomatium,identification
Apiaceae,Lomatium,Lomatium dissectum,identification
Apiaceae,Lomatium,Lomatium nudicaule,identification
Apiaceae,Lomatium,Lomatium triternatum,identification
Apiaceae,Lomatium,Lomatium ,collection
Asclepiadaceae,,Asclepiadaceae,identification
Asclepiadaceae,Asclepias,Asclepias,identification
Asclepiadaceae,Asclepias,Asclepias fascicularis,identification
Asclepiadaceae,Asclepias,Asclepias speciosa,identification
Asclepiadaceae,Asclepias,Asclepias,collection
Asteraceae,,Asteraceae,identification
Asteraceae,,Cichorideae,identification
Asteraceae,Agoseris,Agoseris glauca,identification
Asteraceae,Agoseris,Agoseris grandiflora,identification
Asteraceae,Nothocalais,Nothocalais troximoides,identification
Asteraceae,Crepis,Crepis acuminata,identification
Asteraceae,Crepis,Crepis occidentalis,identification
Asteraceae,,Cichorideae,collection
Asteraceae,,Heliantheae,identification
Asteraceae,Balsamorhiza,Balsamorhiza hookeri,identification
Asteraceae,Balsamorhiza,Balsamorhiza sagittata,identification
Asteraceae,Heliomeris,Heliomeris multiflora,identification
Asteraceae,,Heliantheae,collection
Asteraceae,,Astereae,identification
Asteraceae,Dieteria,Dieteria canescens,identification
Asteraceae,Erigeron,Erigeron bloomeri,identification
Asteraceae,Erigeron,Erigeron linearis,identification
Asteraceae,Erigeron,Erigeron pumilus,identification
Asteraceae,Erigeron,Erigeron speciosus,identification
Asteraceae,,Astereae,collection
Asteraceae,Artemisia,Artemisia tridentata,identification
Asteraceae,Artemisia,Artemisia tridentata,collection
Asteraceae,Chaenactis,Chaenactis douglasii,identification
Asteraceae,Chaenactis,Chaenactis douglasii,collection
Hydrophyllaceae,,Hydrophyllaceae,identification
Hydrophyllaceae,Phacelia,Phacelia,identification
Hydrophyllaceae,Phacelia,Phacelia hastata,identification
Hydrophyllaceae,Phacelia,Phacelia hastata,collection
Capparaceae,,Capparaceae,identification
Capparaceae,Peritoma,Pertitoma,identification
Capparaceae,Peritoma,Peritoma lutea,identification
Fabaceae,,Fabaceae,identification
Fabaceae,Astragalus,Astragalus,identification
Fabaceae,Astragalus,Astragalus eremiticus,identification
Fabaceae,Astragalus,Astragalus filipes,identification
Fabaceae,Astragalus,Astragalus,collection
Fabaceae,Dalea,Dalea,identification
Fabaceae,Dalea,Dalea ornata,identification
Fabaceae,Dalea,Dalea searlsiae,identification
Fabaceae,Dalea,Dalea,collection
Malvaceae,,Malvaceae,identification
Malvaceae,Sphaeralcea,Sphaeralcea,identification
Malvaceae,Sphaeralcea,Sphaeralcea ambigua,identification
Malvaceae,Sphaeralcea,Sphaeralcea coccinea,identification
Malvaceae,Sphaeralcea,Sphaeralcea grossulariifolia,identification
Malvaceae,Sphaeralcea,Sphaeralcea munroana,identification
Malvaceae,Sphaeralcea,Sphaeralcea,collection
Poaceae,,Poaceae,identification
Poaceae,,Stipeae,identification
Poaceae,Achnatherum,Achnatherum hymenoides,identification
Poaceae,Achnatherum,Achnatherum lemmonii,identification
Poaceae,Achnatherum,Achnatherum lettermanii,identification
Poaceae,Achnatherum,Achnatherum nevadense,identification
Poaceae,Achnatherum,Achnatherum occidentale,identification
Poaceae,Achnatherum,Achnatherum speciosum,identification
Poaceae,Achnatherum,Achnatherum thurberianum,identification
Poaceae,Achnatherum,Achnatherum webberi,identification
Poaceae,Achnatherum,Achnatherum ,collection
Poaceae,Hesperostipa,Hesperostipa comata,identification
Poaceae,Hesperostipa,Hesperostipa comata,collection
Poaceae,,Triticeae,identification
Poaceae,Elymus,Elymus elymoides,identification
Poaceae,Leymus,Leymus cinereus,identification
Poaceae,Pseudoroegneria,Pseudoroegneria spicata,identification
Poaceae,,Triticeae,collection
Poaceae,,Poeae,identification
Poaceae,Koeleria,Koeleria macrantha,identification
Poaceae,Festuca,Festuca idahoensis,identification
Poaceae,Poa,Poa secunda,identification
Poaceae,,Poeae,collection
Poaceae,Pleuraphis,Pleuraphis jamesii,identification
Poaceae,Pleuraphis,Pleuraphis jamesii,collection
Poaceae,Sporobolus,Sporobolus cryptandrus,identification
Poaceae,Sporobolus,Sporobolus cryptandrus,collection
Polygonaceae,,Polygonaceae,identification
Polygonaceae,Eriogonum,Eriogonum ,identification
Polygonaceae,Eriogonum,Eriogonum heracleoides,identification
Polygonaceae,Eriogonum,Eriogonum ovalifolium,identification
Polygonaceae,Eriogonum,Eriogonum umbellatum,identification
Polygonaceae,Eriogonum,Eriogonum ,collection
Scrophulariaceae,,Scrophulariaceae,identification
Scrophulariaceae,Penstemon,Penstemon ,identification
Scrophulariaceae,Penstemon,Penstemon acuminatus,identification
Scrophulariaceae,Penstemon,Penstemon deustus,identification
Scrophulariaceae,Penstemon,Penstemon eatonii,identification
Scrophulariaceae,Penstemon,Penstemon pachyphyllus,identification
Scrophulariaceae,Penstemon,Penstemon palmeri,identification
Scrophulariaceae,Penstemon,Penstemon speciosus,identification
Scrophulariaceae,Penstemon,Penstemon ,collection
