"","Family","Genus","Taxon_treated","Action","Level"
"1","Apiaceae",NA,"Apiaceae","identification","Family"
"2","Apiaceae","Lomatium","Lomatium","identification","Genus"
"3","Asclepiadaceae",NA,"Asclepiadaceae","identification","Family"
"4","Asclepiadaceae","Asclepias","Asclepias","identification","Genus"
"5","Asclepiadaceae","Asclepias","Asclepias","collection","Genus"
"6","Asteraceae",NA,"Asteraceae","identification","Family"
"7","Asteraceae",NA,"Cichorideae","identification","Infrafamily"
"8","Asteraceae",NA,"Cichorideae","collection","Infrafamily"
"9","Asteraceae",NA,"Heliantheae","identification","Infrafamily"
"10","Asteraceae",NA,"Heliantheae","collection","Infrafamily"
"11","Asteraceae",NA,"Astereae","identification","Infrafamily"
"12","Asteraceae",NA,"Astereae","collection","Infrafamily"
"13","Hydrophyllaceae",NA,"Hydrophyllaceae","identification","Family"
"14","Hydrophyllaceae","Phacelia","Phacelia","identification","Genus"
"15","Capparaceae",NA,"Capparaceae","identification","Family"
"16","Fabaceae",NA,"Fabaceae","identification","Family"
"17","Fabaceae","Astragalus","Astragalus","identification","Genus"
"18","Fabaceae","Astragalus","Astragalus","collection","Genus"
"19","Fabaceae","Dalea","Dalea","identification","Genus"
"20","Fabaceae","Dalea","Dalea","collection","Genus"
"21","Malvaceae",NA,"Malvaceae","identification","Family"
"22","Malvaceae","Sphaeralcea","Sphaeralcea","identification","Genus"
"23","Malvaceae","Sphaeralcea","Sphaeralcea","collection","Genus"
"24","Poaceae",NA,"Poaceae","identification","Family"
"25","Poaceae",NA,"Stipeae","identification","Infrafamily"
"26","Poaceae",NA,"Triticeae","identification","Infrafamily"
"27","Poaceae",NA,"Triticeae","collection","Infrafamily"
"28","Poaceae",NA,"Poeae","identification","Infrafamily"
"29","Poaceae",NA,"Poeae","collection","Infrafamily"
"30","Polygonaceae",NA,"Polygonaceae","identification","Family"
"31","Scrophulariaceae",NA,"Scrophulariaceae","identification","Family"
